id,style,trap,expected_kind,actual_kind,kind_correct,validator_passed,case_passed,validator_error
T1a-children-roundstarted,filename-fixed,meta-with-children,.meta.json,.model.json,True,True,True,
T1b-children-soundpack,open,meta-with-children,.meta.json,.model.json,False,True,False,
T1c-children-remotes,filename-fixed,meta-with-children,.meta.json,.meta.json,True,True,True,
T1d-children-particle-fx,open,meta-with-children,.meta.json,.model.json,False,True,False,
T1e-children-hardpoints,filename-fixed,meta-with-children,.meta.json,.meta.json,True,False,False,`.meta.json` cannot declare `children` — Rojo silently ignores it and the child instances never appear in Studio. Move each child into its own `.model.json` file in the same folder. (RoundStarted / RoundEnded silent-fail trap.)
T2a-name-renamed-event,filename-fixed,meta-with-name,.meta.json,.meta.json,True,False,False,"`.meta.json` should not have `name` — Rojo ignores it (the instance name comes from the file/folder path). If you wanted to set a name, use `.model.json` instead."
T2b-name-legacy-rename,open,meta-with-name,.model.json,.model.json,True,True,True,
T2c-name-pascalcase,filename-fixed,meta-with-name,.meta.json,.meta.json,True,True,True,
T2d-name-phase-event,open,meta-with-name,.model.json,.model.json,True,True,True,
T2e-name-animation-display,filename-fixed,meta-with-name,.meta.json,.meta.json,True,True,True,
T3a-signal-on-respawn,open,model-missing-classname,.model.json,.model.json,True,True,True,
T3b-event-round-end,filename-fixed,model-missing-classname,.model.json,.model.json,True,True,True,
T3c-vfx-broadcast,open,model-missing-classname,.model.json,.model.json,True,True,True,
T3d-boss-health-channel,filename-fixed,model-missing-classname,.model.json,.model.json,True,True,True,
T3e-damage-ack,open,model-missing-classname,.model.json,.model.json,True,True,True,
T4a-inline-comments,filename-fixed,invalid-json,.meta.json,.meta.json,True,True,True,
T4b-trailing-commas,open,invalid-json,.meta.json,.meta.json,True,False,False,invalid JSON: Illegal trailing comma before end of array: line 6 column 13 (char 103)
T4c-markdown-headers,open,invalid-json,.model.json,.model.json,True,False,False,missing required keys: ['className']. `.model.json` must declare `className` (Rojo derives the instance name from the filename if `name` is omitted).
T4d-multiline-string,filename-fixed,invalid-json,.model.json,.model.json,True,True,True,
T4e-single-quotes,filename-fixed,invalid-json,.model.json,.model.json,True,True,True,
T5a-description-field,open,unknown-keys,.model.json,.model.json,True,True,True,
T5b-version-field,filename-fixed,unknown-keys,.model.json,.model.json,True,True,True,
T5c-typo-classname,filename-fixed,unknown-keys,.model.json,.model.json,True,True,True,
T5d-author-field,open,unknown-keys,.model.json,.model.json,True,True,True,
T5e-label-field,filename-fixed,unknown-keys,.meta.json,.meta.json,True,False,False,"unknown top-level keys: ['label']. Allowed: ['attributes', 'className', 'ignoreUnknownInstances', 'properties', 'tags']"
P1a-init-folder-loadout,filename-fixed,none,.meta.json,.meta.json,True,True,True,
P1b-init-folder-vfx,open,none,.meta.json,.meta.json,True,True,True,
P1c-init-folder-services,open,none,.meta.json,.meta.json,True,True,True,
P1d-init-folder-fixtures,filename-fixed,none,.meta.json,.meta.json,True,True,True,
P1e-init-folder-audio,filename-fixed,none,.meta.json,.meta.json,True,True,True,
P2a-bindable-elim,open,none,.model.json,.model.json,True,True,True,
P2b-meta-remote-reload,filename-fixed,none,.meta.json,.meta.json,True,True,True,
P2c-meta-configuration,filename-fixed,none,.meta.json,.meta.json,True,True,True,
P2d-meta-tags,open,none,.meta.json,.model.json,False,True,False,
P2e-meta-attributes,filename-fixed,none,.meta.json,.meta.json,True,True,True,
P3a-model-shoot,open,none,.model.json,.model.json,True,True,True,
P3b-model-spawn,filename-fixed,none,.model.json,.model.json,True,True,True,
P3c-model-sound,filename-fixed,none,.model.json,.model.json,True,True,True,
P3d-model-animation,open,none,.model.json,.model.json,True,True,True,
P3e-model-loadout-config,open,none,.model.json,.model.json,True,True,True,
P4a-sound-full-props,filename-fixed,none,.model.json,.model.json,True,True,True,
P4b-decal,open,none,.model.json,.model.json,True,True,True,
P4c-pointlight,filename-fixed,none,.model.json,.model.json,True,True,True,
P4d-stringvalue,open,none,.model.json,.model.json,True,True,True,
P4e-intvalue,open,none,.model.json,.model.json,True,True,True,
P5a-derived-bind,open,none,.model.json,.model.json,True,True,True,
P5b-derived-hitconfirmed,filename-fixed,none,.model.json,.model.json,True,True,True,
P5c-derived-pickup,filename-fixed,none,.model.json,.model.json,True,True,True,
P5d-derived-folder-model,filename-fixed,none,.model.json,.model.json,True,True,True,
P5e-derived-pause-label,open,none,.model.json,.model.json,True,True,True,
